Block me from this site after [10 minutes].,Remove me from this website after [10 minutes].,Can you block me from this site after [10 minutes]?,Please block me from this site in [10 minutes].
Block me from this site after [10 minutes].,Restrict my access from this site in [10 minutes].,After [10 minutes] shut me out from this site.,Close this site and block me after [10 minutes] of use.
Block me from this site after [10 minutes].,After [10 minutes] block me from this site.,Block me from this site in [10 minutes].,In [10 minutes] block me from this site.
Block me from this site after [10 minutes].,Do not allow me to access this site after 10 minutes,Cut off access to this site after 10 minutes,Terminate access to this site after 10 minutes
Block me from this site after [10 minutes].,"After [10 minutes], block me from this site.","When  [10 minutes] are up, block me from this site.",I want to be blocked from this site after [10 minutes].
Block me from this site after [10 minutes].,"In [10 minutes], block me from this website.",I'd like to be blocked from visiting this site in [10 minutes]' time.,"After [10 minutes], prevent me from accessing this site."
Block me from this site after [10 minutes].,Block off this site after [10 minutes].,Block this site after [10 minutes].,Stop access to this site after [10 minutes].
Block me from this site after [10 minutes].,Set a block on this site after [10 minutes].,If I've been on this site for [10 minutes] then block me.,Do a block if you see that I've been on this site for [10 minutes].
Block me from this site after [10 minutes].,In [10 minutes] block me from this site,Make sure to block me from this site in [10 minutes],Block me  [10 minutes] from this site
Block me from this site after [10 minutes].,after [10 minutes] block me from this site,"Please, after [10 minutes] block me from this site",after [10 minutes] have passed block me from this site
Block me from this site after [10 minutes].,Please prevent me from accessing this site after [10 minutes],"After [10 minutes], please block me from this site",Make this site inaccessible after [10 minutes]
Block me from this site after [10 minutes].,After [10 minutes] block me from this site.,Do not allow me into this site after [10 minutes].,After [10 minutes] don't allow me to enter this site.
Block me from this site after [10 minutes].,Please block me from this site after [10 minutes] of time elapsed.,Remember to block me from this site after [10 minutes].,After [10 minutes] block me from this site.
Block me from this site after [10 minutes].,Prevent me from using this site after [10 minutes],Put this site on a block list in [10 minutes],Prevent access to this site in [10 minutes]
Block me from this site after [10 minutes].,Add this website to blacklist after [10 minutes].,Only let me use this website for [10 minutes].,Hide the website from me after [10 minutes].
Block me from this site after [10 minutes].,Remove me from this site after [10 minutes].,Forbid me from accessing this site after [10 minutes].,"Every time I am on this site for more than [10 minutes], kick me off."
Block me from this site after [10 minutes].,Stop me from using this site after 10 minutes.,Prevent me from using this site after 10 minutes.,Block me from accessing this site after 10 minutes.
Block me from this site after [10 minutes].,Shut off this cite in 10 minutes.,Block this cite in 10 minutes.,After 10 minutes I want you to block the cite.
Block me from this site after [10 minutes].,"In [10 minutes], block this site for me.",Keep me from accessing this site after [10 minutes].,Please only let me stay on this site for [10 minutes].
